simulation,period,variable,risk,value
1,10,ptf2,Real Estate,86425.62586745358
1,10,ptf2,Precious Metals,21606.406466863395
1,10,ptf2,Bonds,129638.43880118037
1,10,ptf2,Crypto,21606.406466863395
1,10,ptf2,Stocks,172851.25173490716
1,10,ptf3,Cash,0.0
1,10,ptf3,Real Estate,99697.92360704187
1,10,ptf3,Precious Metals,26628.468669842983
1,10,ptf3,Bonds,141453.6317627706
1,10,ptf3,Crypto,35243.83904689839
1,10,ptf3,Stocks,184356.56098501038
1,10,ptf4,Cash,55252.29473429633
1,10,ptf4,Real Estate,99697.92360704187
1,10,ptf4,Precious Metals,26628.468669842983
1,10,ptf4,Bonds,86201.33702847426
1,10,ptf4,Crypto,35243.83904689839
1,10,ptf4,Stocks,184356.56098501038
1,10,ptf5,Cash,55252.29473429633
1,10,ptf5,Real Estate,86425.6258674536
1,10,ptf5,Precious Metals,21606.4064668634
1,10,ptf5,Bonds,129638.43880118038
1,10,ptf5,Crypto,21606.4064668634
1,10,ptf5,Stocks,172851.2517349072
1,10,returns,Cash,0.0
1,10,returns,Money Market,0.033117279662023866
1,10,returns,Bonds,0.09113958075128135
1,10,returns,Stocks,0.06656190877777561
1,10,returns,Crypto,0.6311754155393683
1,10,returns,Precious Metals,0.23243394086294078
1,10,returns,Real Estate,0.15356900926518377
1,10,contributions,,0.0
1,10,withdrawals,,50000.0
1,10,availableCash,,0.0
1,10,cashBuffer,,150000.0
1,10,cashDepletion,,0.0
1,10,shortfall,,50000.0
1,10,cashReplenishment,,55252.29473429633
1,10,financialGainLoss,,55252.29473429633
1,11,ptf_bop,Cash,55252.29473429633
1,11,ptf_bop,Real Estate,86425.6258674536
1,11,ptf_bop,Precious Metals,21606.4064668634
1,11,ptf_bop,Bonds,129638.43880118038
1,11,ptf_bop,Crypto,21606.4064668634
1,11,ptf_bop,Stocks,172851.2517349072
1,11,ptf_eop,Cash,26200.702501273132
1,11,ptf_eop,Real Estate,86425.62586745361
1,11,ptf_eop,Precious Metals,21606.406466863402
1,11,ptf_eop,Bonds,129638.43880118043
1,11,ptf_eop,Crypto,21606.406466863402
1,11,ptf_eop,Stocks,172851.25173490721
1,11,ptf1,Cash,5252.294734296331
1,11,ptf1,Real Estate,86425.6258674536
1,11,ptf1,Precious Metals,21606.4064668634
1,11,ptf1,Bonds,129638.43880118038
1,11,ptf1,Crypto,21606.4064668634
1,11,ptf1,Stocks,172851.2517349072
1,11,ptf2,Cash,5252.294734296331
1,11,ptf2,Real Estate,86425.6258674536
1,11,ptf2,Precious Metals,21606.4064668634
1,11,ptf2,Bonds,129638.43880118038
1,11,ptf2,Crypto,21606.4064668634
1,11,ptf2,Stocks,172851.2517349072
1,11,ptf3,Cash,5252.294734296331
1,11,ptf3,Real Estate,98431.7529762602
1,11,ptf3,Precious Metals,16702.62824887006
1,11,ptf3,Bonds,112590.84865767158
1,11,ptf3,Crypto,17697.17976482898
1,11,ptf3,Stocks,207654.127456614
1,11,ptf4,Cash,26200.702501273132
1,11,ptf4,Real Estate,98431.7529762602
1,11,ptf4,Precious Metals,16702.62824887006
1,11,ptf4,Bonds,91642.44089069478
1,11,ptf4,Crypto,17697.17976482898
1,11,ptf4,Stocks,207654.127456614
1,11,ptf5,Cash,26200.702501273132
1,11,ptf5,Real Estate,86425.62586745361
1,11,ptf5,Precious Metals,21606.406466863402
1,11,ptf5,Bonds,129638.43880118043
1,11,ptf5,Crypto,21606.406466863402
1,11,ptf5,Stocks,172851.25173490721
1,11,returns,Cash,0.0
1,11,returns,Money Market,-0.07794611585779603
1,11,returns,Bonds,-0.13150104476075794
1,11,returns,Stocks,0.2013458124971066
1,11,returns,Crypto,-0.18092905490923697
1,11,returns,Precious Metals,-0.2269594541560626
1,11,returns,Real Estate,0.1389186018417705
1,11,contributions,,0.0
1,11,withdrawals,,50000.0
1,11,availableCash,,5252.294734296331
1,11,cashBuffer,,150000.0
1,11,cashDepletion,,50000.0
1,11,shortfall,,0.0
1,11,cashReplenishment,,20948.4077669768
1,11,financialGainLoss,,20948.4077669768
1,12,ptf_bop,Cash,26200.702501273132
1,12,ptf_bop,Real Estate,86425.62586745361
1,12,ptf_bop,Precious Metals,21606.406466863402
1,12,ptf_bop,Bonds,129638.43880118043
1,12,ptf_bop,Crypto,21606.406466863402
1,12,ptf_bop,Stocks,172851.25173490721
1,12,ptf_eop,Cash,14603.354795248015
1,12,ptf_eop,Real Estate,81665.76636770825
1,12,ptf_eop,Precious Metals,20416.44159192706
1,12,ptf_eop,Bonds,122498.64955156237
1,12,ptf_eop,Crypto,20416.44159192706
1,12,ptf_eop,Stocks,163331.5327354165
1,12,ptf1,Cash,0.0
1,12,ptf1,Real Estate,86425.62586745361
1,12,ptf1,Precious Metals,21606.406466863402
1,12,ptf1,Bonds,105839.14130245356
1,12,ptf1,Crypto,21606.406466863402
1,12,ptf1,Stocks,172851.25173490721
1,12,ptf2,Cash,0.0
